Frame	Time	X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3
127	0.63	545.99298	-1667.11816	835.02332	610.72363	-1637.61877	928.84924	823.37183	-1542.71704	1231.70728
128	0.635	551.92114	-1658.95837	834.99799	617.12915	-1630.1626	928.50299	831.22241	-1535.65833	1230.79297
129	0.64	558.05847	-1650.76855	835.00854	623.76147	-1622.25171	928.28577	839.01312	-1528.61572	1229.87988
130	0.645	564.30646	-1642.54419	834.85059	630.245	-1614.54553	927.94635	846.62073	-1521.71155	1229.0387
131	0.65	570.55817	-1634.51318	834.67053	636.79401	-1606.7229	927.76233	853.98926	-1515.12207	1228.48535
132	0.655	576.95746	-1626.49829	834.45825	643.2464	-1598.9408	927.3512	861.35822	-1508.34351	1228.06982
133	0.66	583.28503	-1618.00452	834.16748	649.86786	-1591.23425	927.26941	867.43054	-1500.21423	1227.9248
134	0.665	589.83197	-1610.16003	833.966	656.3819	-1582.88879	927.07208	875.30188	-1495.17627	1227.68323
135	0.67	596.401	-1601.92126	833.59167	662.89386	-1575.47461	926.88751	881.99609	-1489.84802	1227.78699
136	0.675	602.98401	-1593.39197	833.34961	669.30786	-1567.51013	926.72028	888.14587	-1483.1947	1228.33191
137	0.68	609.62933	-1585.58105	832.99109	675.76556	-1560.2655	926.59375	893.90295	-1476.5061	1229.0918
138	0.685	616.14819	-1577.18115	832.73462	682.11145	-1552.17017	926.7984	899.47644	-1471.33752	1230.0387
139	0.69	622.86725	-1568.94958	832.61713	688.37305	-1544.66541	926.85071	904.56024	-1464.70837	1231.67285
140	0.695	629.51874	-1560.95776	832.44843	694.63177	-1536.69141	927.34967	909.74927	-1459.29773	1233.42297
141	0.7	636.1297	-1552.47827	832.4079	700.80212	-1529.46106	927.68665	913.99719	-1453.15088	1235.3855
142	0.705	642.91528	-1544.24817	832.4729	706.9292	-1521.60547	928.36517	918.25549	-1448.19019	1237.97717
143	0.71	649.49634	-1536.25989	832.68713	712.86926	-1513.95264	929.23743	922.06665	-1442.95728	1240.86792
144	0.715	656.13306	-1527.95593	833.11395	718.71161	-1506.56079	930.28943	925.38696	-1437.53394	1244.08154
145	0.72	662.68842	-1519.47449	833.73328	724.45599	-1499.11414	931.56616	928.09918	-1431.66211	1247.65576
146	0.725	669.24286	-1511.46899	834.49048	730.11835	-1491.9679	932.9502	931.55884	-1428.15442	1251.33972
147	0.73	675.71985	-1503.35669	835.42401	735.6535	-1484.34314	934.72119	933.58881	-1422.46509	1255.59448
148	0.735	682.12604	-1495.43323	836.59204	740.99786	-1477.4342	936.56543	935.84955	-1418.18433	1259.88379
149	0.74	688.3269	-1486.85083	838.12274	746.21301	-1469.98926	938.89392	938.02106	-1414.41541	1264.47766
150	0.745	694.51355	-1479.09705	839.88971	751.30493	-1463.15967	941.29468	939.50476	-1409.875	1269.49548
151	0.75	700.62109	-1471.24561	841.85583	756.26971	-1456.28406	944.02563	941.09985	-1406.06763	1274.72278
152	0.755	706.53503	-1463.37744	844.112	760.99554	-1449.55933	946.95233	941.99866	-1401.74805	1280.25476
153	0.76	712.24042	-1455.84863	846.59003	765.56134	-1442.43665	950.44263	942.71582	-1398.14832	1285.97424
154	0.765	717.94873	-1448.37878	849.4248	770.0271	-1435.85339	953.87115	943.3205	-1394.76501	1291.96265
155	0.77	723.40955	-1440.29089	852.54669	774.34222	-1429.1012	957.74603	943.55872	-1391.79639	1298.38806
156	0.775	728.85577	-1432.65637	855.9295	778.39984	-1422.53735	961.86707	943.07587	-1388.50562	1304.98438
157	0.78	734.14502	-1424.65955	859.65265	782.27863	-1416.24963	966.12964	942.6781	-1385.95642	1311.72363
158	0.785	739.39313	-1417.31592	863.40759	786.15942	-1409.41638	970.83459	941.55646	-1383.21448	1318.94006
159	0.79	744.52362	-1409.56262	867.63159	789.63678	-1403.05444	975.74902	939.99518	-1380.5481	1326.10034
160	0.795	749.53577	-1401.67212	871.99725	793.28052	-1396.53308	980.86377	938.71448	-1378.48181	1333.7677
161	0.8	754.64246	-1394.28198	876.57513	796.62811	-1390.06152	986.25409	936.82471	-1376.36145	1341.17847
162	0.805	759.58569	-1386.75281	881.45673	799.88715	-1384.30945	991.66351	934.57727	-1375.13416	1349.26135
163	0.81	764.25195	-1379.38623	886.71429	802.99487	-1378.0155	997.63196	932.02808	-1373.45996	1357.09729
164	0.815	768.91986	-1371.93311	892.1601	805.90338	-1371.69739	1003.6347	929.11444	-1372.18066	1365.25281
165	0.82	773.52673	-1364.45154	897.84106	808.59576	-1366.38049	1009.81268	926.36188	-1371.84106	1373.32935
166	0.825	777.93628	-1357.03418	903.83673	811.1861	-1360.67529	1016.21381	922.91608	-1371.18347	1381.68652
167	0.83	782.23181	-1349.53503	909.97034	813.54791	-1354.88904	1022.89178	919.19757	-1370.01111	1389.80408
168	0.835	786.28479	-1342.17725	916.40851	815.87262	-1349.09253	1029.8761	915.26746	-1369.8595	1398.09204
169	0.84	790.27618	-1335.74329	923.01868	817.88031	-1343.90283	1036.84741	911.48975	-1370.38403	1406.31104
170	0.845	794.06104	-1328.64124	929.87982	819.79419	-1338.78662	1044.06958	907.1236	-1370.26636	1414.76721
171	0.85	797.67383	-1321.71375	936.99487	821.59448	-1333.82397	1051.36792	902.75049	-1371.30481	1422.85669
172	0.855	801.25226	-1314.66553	944.41199	823.19397	-1328.64819	1058.93042	897.88654	-1371.35693	1431.0332
173	0.86	804.47394	-1308.03125	951.85852	824.63757	-1323.87512	1066.48254	893.40778	-1372.55676	1439.07507
174	0.865	807.65295	-1301.63391	959.26227	825.91229	-1319.16931	1074.10645	888.59869	-1373.37048	1446.99866
175	0.87	810.71881	-1294.97839	967.065	827.16748	-1314.42944	1081.75183	883.62183	-1375.20972	1454.62451
176	0.875	813.56854	-1289.07251	974.81244	828.12891	-1310.04053	1089.44824	878.70526	-1376.19946	1462.36536
177	0.88	816.4267	-1282.79346	982.66968	829.04755	-1305.50378	1097.18213	873.4964	-1377.56323	1469.6416
178	0.885	819.14014	-1276.9353	990.43292	829.92853	-1301.45654	1104.90039	868.51349	-1379.71533	1476.80505
179	0.89	821.57843	-1271.00549	998.32141	830.73395	-1297.44849	1112.42126	863.24023	-1381.40527	1483.73157
180	0.895	823.97668	-1265.36804	1006.18591	831.28632	-1293.40039	1119.953	857.90125	-1382.63416	1490.33655
181	0.9	826.26874	-1259.93811	1013.79138	831.82263	-1289.52161	1127.36768	852.53058	-1384.92554	1496.6814
182	0.905	828.49884	-1254.53027	1021.60742	832.14313	-1286.11926	1134.64905	847.40631	-1387.71313	1502.62842
183	0.91	830.56305	-1249.23816	1029.21704	832.45569	-1282.83496	1141.823	841.65076	-1389.28467	1508.41125
184	0.915	832.55365	-1244.33655	1036.65735	832.72479	-1279.12073	1148.83777	836.29138	-1391.92749	1513.62866
185	0.92	834.47778	-1239.50037	1043.94983	832.86719	-1275.92371	1155.58521	830.75031	-1394.46655	1518.70044
186	0.925	836.29736	-1234.74219	1051.1698	832.94	-1272.95129	1162.1637	825.01685	-1396.13391	1523.25513
187	0.93	838.04517	-1230.16833	1058.00989	832.89526	-1269.92834	1168.51746	819.23523	-1398.06042	1527.55981
188	0.935	839.63025	-1225.62854	1064.67468	832.86859	-1266.84412	1174.47375	813.84448	-1400.45874	1531.29346
189	0.94	840.95569	-1221.50769	1071.01733	832.49054	-1264.29138	1180.14709	808.56061	-1403.41858	1534.89075
190	0.945	842.1322	-1217.6991	1077.06201	832.09528	-1261.79932	1185.52307	802.77271	-1404.7312	1537.85938
191	0.95	843.20923	-1213.91199	1082.71033	831.65704	-1259.53931	1190.41248	797.47351	-1407.02844	1540.57751
192	0.955	844.25342	-1210.04602	1088.05261	831.13763	-1257.04114	1195.07288	792.13348	-1408.68115	1542.91785
193	0.96	844.97528	-1207.24658	1092.73596	830.48254	-1254.94531	1199.09534	787.25372	-1410.74072	1544.76697
